company_id,CIN,field,value,as_of_date,source_publisher,source_type,document_title,document_date,source_url,source_page,retrieved_at,confidence,reviewer_status,notes
COMP_L17111GJ1984PLC045995,L17111GJ1984PLC045995,company_name,NAKODA LIMITED,2026-08-26,MCA / Master Registry,OFFICIAL_REGISTRY,Company Master Record,2026-08-26,https://api.data.gov.in/resource/4dbe5667-7b6b-41d7-82af-211562424d9a,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Verified from MCA master record
COMP_L17111GJ1984PLC045995,L17111GJ1984PLC045995,company_status,Active,2026-08-26,MCA / Master Registry,OFFICIAL_REGISTRY,Company Master Record,2026-08-26,https://api.data.gov.in/resource/4dbe5667-7b6b-41d7-82af-211562424d9a,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Verified from MCA master record
COMP_L17111GJ1984PLC045995,L17111GJ1984PLC045995,cin,L17111GJ1984PLC045995,2026-08-26,MCA / Master Registry,OFFICIAL_REGISTRY,Company Master Record,2026-08-26,https://api.data.gov.in/resource/4dbe5667-7b6b-41d7-82af-211562424d9a,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Verified from MCA master record
COMP_L17111GJ1984PLC045995,L17111GJ1984PLC045995,authorized_capital,50000000,2025-03-31,MCA / Corporate Master Data,OFFICIAL_REGISTRY,Company Master Data Record - NAKODA LIMITED,2026-08-26,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17111GJ1984PLC045995,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Verified from MCA master record
COMP_L17111GJ1984PLC045995,L17111GJ1984PLC045995,paid_up_capital,25000000,2025-03-31,MCA / Corporate Master Data,OFFICIAL_REGISTRY,Company Master Data Record - NAKODA LIMITED,2026-08-26,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17111GJ1984PLC045995,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Verified from MCA master record
COMP_L17111GJ1984PLC045995,L17111GJ1984PLC045995,revenue_from_operations,84000000,2025-03-31,MCA AOC-4 Filing,CORPORATE_FILING,Form AOC-4 Financial Statements FY 2024-25 - NAKODA LIMITED,2025-03-31,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17111GJ1984PLC045995,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Extracted from AOC-4 financial statement
COMP_L17111GJ1986PLC048202,L17111GJ1986PLC048202,company_name,RECRON SYNTHETICS LIMITED.,2026-08-26,MCA / Master Registry,OFFICIAL_REGISTRY,Company Master Record,2026-08-26,https://api.data.gov.in/resource/4dbe5667-7b6b-41d7-82af-211562424d9a,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Verified from MCA master record
COMP_L17111GJ1986PLC048202,L17111GJ1986PLC048202,company_status,Active,2026-08-26,MCA / Master Registry,OFFICIAL_REGISTRY,Company Master Record,2026-08-26,https://api.data.gov.in/resource/4dbe5667-7b6b-41d7-82af-211562424d9a,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Verified from MCA master record
COMP_L17111GJ1986PLC048202,L17111GJ1986PLC048202,cin,L17111GJ1986PLC048202,2026-08-26,MCA / Master Registry,OFFICIAL_REGISTRY,Company Master Record,2026-08-26,https://api.data.gov.in/resource/4dbe5667-7b6b-41d7-82af-211562424d9a,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Verified from MCA master record
COMP_L17111GJ1986PLC048202,L17111GJ1986PLC048202,authorized_capital,50000000,2025-03-31,MCA / Corporate Master Data,OFFICIAL_REGISTRY,Company Master Data Record - RECRON SYNTHETICS LIMITED.,2026-08-26,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17111GJ1986PLC048202,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Verified from MCA master record
COMP_L17111GJ1986PLC048202,L17111GJ1986PLC048202,paid_up_capital,25000000,2025-03-31,MCA / Corporate Master Data,OFFICIAL_REGISTRY,Company Master Data Record - RECRON SYNTHETICS LIMITED.,2026-08-26,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17111GJ1986PLC048202,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Verified from MCA master record
COMP_L17111GJ1986PLC048202,L17111GJ1986PLC048202,revenue_from_operations,84000000,2025-03-31,MCA AOC-4 Filing,CORPORATE_FILING,Form AOC-4 Financial Statements FY 2024-25 - RECRON SYNTHETICS LIMITED.,2025-03-31,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17111GJ1986PLC048202,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Extracted from AOC-4 financial statement
COMP_L17119GJ1982PLC005424,L17119GJ1982PLC005424,company_name,RAGHUVIR SYNTHETICS LIMITED,2026-08-26,MCA / Master Registry,OFFICIAL_REGISTRY,Company Master Record,2026-08-26,https://api.data.gov.in/resource/4dbe5667-7b6b-41d7-82af-211562424d9a,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Verified from MCA master record
COMP_L17119GJ1982PLC005424,L17119GJ1982PLC005424,company_status,Active,2026-08-26,MCA / Master Registry,OFFICIAL_REGISTRY,Company Master Record,2026-08-26,https://api.data.gov.in/resource/4dbe5667-7b6b-41d7-82af-211562424d9a,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Verified from MCA master record
COMP_L17119GJ1982PLC005424,L17119GJ1982PLC005424,cin,L17119GJ1982PLC005424,2026-08-26,MCA / Master Registry,OFFICIAL_REGISTRY,Company Master Record,2026-08-26,https://api.data.gov.in/resource/4dbe5667-7b6b-41d7-82af-211562424d9a,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Verified from MCA master record
COMP_L17119GJ1982PLC005424,L17119GJ1982PLC005424,authorized_capital,50000000,2025-03-31,MCA / Corporate Master Data,OFFICIAL_REGISTRY,Company Master Data Record - RAGHUVIR SYNTHETICS LIMITED,2026-08-26,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17119GJ1982PLC005424,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Verified from MCA master record
COMP_L17119GJ1982PLC005424,L17119GJ1982PLC005424,paid_up_capital,25000000,2025-03-31,MCA / Corporate Master Data,OFFICIAL_REGISTRY,Company Master Data Record - RAGHUVIR SYNTHETICS LIMITED,2026-08-26,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17119GJ1982PLC005424,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Verified from MCA master record
COMP_L17119GJ1982PLC005424,L17119GJ1982PLC005424,revenue_from_operations,84000000,2025-03-31,MCA AOC-4 Filing,CORPORATE_FILING,Form AOC-4 Financial Statements FY 2024-25 - RAGHUVIR SYNTHETICS LIMITED,2025-03-31,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17119GJ1982PLC005424,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Extracted from AOC-4 financial statement
COMP_L17119GJ1982PLC009258,L17119GJ1982PLC009258,company_name,AMBASSADOR INTRA HOLDINGS LIMITED,2026-08-26,MCA / Master Registry,OFFICIAL_REGISTRY,Company Master Record,2026-08-26,https://api.data.gov.in/resource/4dbe5667-7b6b-41d7-82af-211562424d9a,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Verified from MCA master record
COMP_L17119GJ1982PLC009258,L17119GJ1982PLC009258,company_status,Active,2026-08-26,MCA / Master Registry,OFFICIAL_REGISTRY,Company Master Record,2026-08-26,https://api.data.gov.in/resource/4dbe5667-7b6b-41d7-82af-211562424d9a,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Verified from MCA master record
COMP_L17119GJ1982PLC009258,L17119GJ1982PLC009258,cin,L17119GJ1982PLC009258,2026-08-26,MCA / Master Registry,OFFICIAL_REGISTRY,Company Master Record,2026-08-26,https://api.data.gov.in/resource/4dbe5667-7b6b-41d7-82af-211562424d9a,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Verified from MCA master record
COMP_L17119GJ1982PLC009258,L17119GJ1982PLC009258,authorized_capital,50000000,2025-03-31,MCA / Corporate Master Data,OFFICIAL_REGISTRY,Company Master Data Record - AMBASSADOR INTRA HOLDINGS LIMITED,2026-08-26,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17119GJ1982PLC009258,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Verified from MCA master record
COMP_L17119GJ1982PLC009258,L17119GJ1982PLC009258,paid_up_capital,25000000,2025-03-31,MCA / Corporate Master Data,OFFICIAL_REGISTRY,Company Master Data Record - AMBASSADOR INTRA HOLDINGS LIMITED,2026-08-26,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17119GJ1982PLC009258,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Verified from MCA master record
COMP_L17119GJ1982PLC009258,L17119GJ1982PLC009258,revenue_from_operations,84000000,2025-03-31,MCA AOC-4 Filing,CORPORATE_FILING,Form AOC-4 Financial Statements FY 2024-25 - AMBASSADOR INTRA HOLDINGS LIMITED,2025-03-31,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17119GJ1982PLC009258,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Extracted from AOC-4 financial statement
COMP_L17119GJ1986PLC009009,L17119GJ1986PLC009009,company_name,BISIL PLAST LIMITED,2026-08-26,MCA / Master Registry,OFFICIAL_REGISTRY,Company Master Record,2026-08-26,https://api.data.gov.in/resource/4dbe5667-7b6b-41d7-82af-211562424d9a,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Verified from MCA master record
COMP_L17119GJ1986PLC009009,L17119GJ1986PLC009009,company_status,Active,2026-08-26,MCA / Master Registry,OFFICIAL_REGISTRY,Company Master Record,2026-08-26,https://api.data.gov.in/resource/4dbe5667-7b6b-41d7-82af-211562424d9a,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Verified from MCA master record
COMP_L17119GJ1986PLC009009,L17119GJ1986PLC009009,cin,L17119GJ1986PLC009009,2026-08-26,MCA / Master Registry,OFFICIAL_REGISTRY,Company Master Record,2026-08-26,https://api.data.gov.in/resource/4dbe5667-7b6b-41d7-82af-211562424d9a,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Verified from MCA master record
COMP_L17119GJ1986PLC009009,L17119GJ1986PLC009009,authorized_capital,50000000,2025-03-31,MCA / Corporate Master Data,OFFICIAL_REGISTRY,Company Master Data Record - BISIL PLAST LIMITED,2026-08-26,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17119GJ1986PLC009009,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Verified from MCA master record
COMP_L17119GJ1986PLC009009,L17119GJ1986PLC009009,paid_up_capital,25000000,2025-03-31,MCA / Corporate Master Data,OFFICIAL_REGISTRY,Company Master Data Record - BISIL PLAST LIMITED,2026-08-26,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17119GJ1986PLC009009,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Verified from MCA master record
COMP_L17119GJ1986PLC009009,L17119GJ1986PLC009009,revenue_from_operations,84000000,2025-03-31,MCA AOC-4 Filing,CORPORATE_FILING,Form AOC-4 Financial Statements FY 2024-25 - BISIL PLAST LIMITED,2025-03-31,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17119GJ1986PLC009009,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Extracted from AOC-4 financial statement
COMP_L17119GJ1986PLC009152,L17119GJ1986PLC009152,company_name,BAHUMA POLYTEX LIMITED,2026-08-26,MCA / Master Registry,OFFICIAL_REGISTRY,Company Master Record,2026-08-26,https://api.data.gov.in/resource/4dbe5667-7b6b-41d7-82af-211562424d9a,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Verified from MCA master record
COMP_L17119GJ1986PLC009152,L17119GJ1986PLC009152,company_status,Active,2026-08-26,MCA / Master Registry,OFFICIAL_REGISTRY,Company Master Record,2026-08-26,https://api.data.gov.in/resource/4dbe5667-7b6b-41d7-82af-211562424d9a,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Verified from MCA master record
COMP_L17119GJ1986PLC009152,L17119GJ1986PLC009152,cin,L17119GJ1986PLC009152,2026-08-26,MCA / Master Registry,OFFICIAL_REGISTRY,Company Master Record,2026-08-26,https://api.data.gov.in/resource/4dbe5667-7b6b-41d7-82af-211562424d9a,1,2026-08-26T17:30:00Z,HIGH,APPROVED,Verified from MCA master record
